Smiles,Value
OC(=NCCCN=c1c2c([nH]c3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3,0.006
OC(CCCCCCN=c1c2c([nH]c3cc(Cl)cc(Cl)c13)CCCC2)=NCCc1c[nH]c2ccccc12,0.008
OC(CCCCCCN=c1c2c([nH]c3cccc(Cl)c13)CCCC2)=NCCc1c[nH]c2ccccc12,0.008
COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3cccc(Cl)c3)ccc2CC1=O,0.011
O=C(Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2)c1cccc(Cl)c1,0.013
O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1cccc(Cl)c1,0.014
Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4cccc(Cl)c4)ccc3CC2=O)c1,0.014
Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(C)c2)C(=O)C3)c1,0.014
COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2,0.017
COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3ccccc3)ccc2CC1=O,0.019
OC(CCc1c[nH]c2ccccc12)=NCCCCCCN=c1c2c([nH]c3cc(Cl)ccc13)CCCC2,0.02
OC(CCc1c[nH]c2ccccc12)=NCCCCCCN=c1c2c([nH]c3ccccc13)CCCC2,0.02
C/C=C1\[C@H]2C=C(C)C[C@]1(/N=C/c1cc(OC)cc(OC)c1)c1ccc(O)nc1C2,0.02
Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(Cl)c2)C(=O)C3)c1,0.021
COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1ccccc1OC)C(=O)C2,0.022
C/C=C1\[C@H]2C=C(C)C[C@]1(/N=C/c1ccc(OC)cc1)c1ccc(O)nc1C2,0.0246
Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4ccccc4)ccc3CC2=O)c1,0.026
COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1cccc(C)c1)C(=O)C2,0.026
COc1ccc(C(C)NS(N)(=O)=O)cc1OC,0.027
COc1ccc(OC)c(C(C)NS(=O)(=O)N=C(O)OCc2ccccc2)c1,0.027
COc1ccccc1C(C)NS(=O)(=O)N=C(O)OCc1ccccc1,0.027
COc1ccc(OC)c(C(C)NS(N)(=O)=O)c1,0.027
COc1cccc(OC)c1C(C)NS(=O)(=O)N=C(O)OCc1ccccc1,0.027
COc1ccc(C(C)NS(=O)(=O)N=C(O)OCc2ccccc2)cc1,0.027
COc1ccc(C(C)NS(=O)(=O)N=C(O)OCc2ccccc2)cc1OC,0.027
COc1ccc(C(C)NS(N)(=O)=O)cc1,0.027
COc1ccccc1C(C)NS(N)(=O)=O,0.027
C/C(=N/O)[C@H]1CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C,0.027
O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1ccccc1,0.028
COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2,0.029
COc1cc(O)c2c(=O)cc(C(=O)NCCCCCCCCCCN=c3c4c([nH]c5cc(Cl)ccc35)CCCC4)oc2c1,0.035
CCC(=O)N1CCCC2(O)c3ccccc3N(C)C12,0.038
COc1ccc2[nH]cc(CCN=C(O)CCCCCCN=c3c4c([nH]c5cc(Cl)cc(Cl)c35)CCCC4)c2c1,0.04
C/C=C1\[C@H]2C=C(C)C[C@]1(/N=C/c1ccc(C#N)cc1)c1ccc(O)nc1C2,0.0412
CCCCCCCN=C(O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1C2,114.0
O=c1ccc2cc(/N=C/c3ccccc3)ccc2o1,114.0
c1ccc2c(=NCCCCCCN=c3c4c([nH]c5ccccc35)CCC4)c3c([nH]c2c1)CCC3,115.0
Cc1cc(N2CCN(c3nc(Cl)nc(Nc4ccc(F)cc4)n3)CC2)n2ncnc2n1,115.0
N=c1c2c([nH]c3ccccc13)CCCC2,115.0
Cc1cc(=O)oc2c1ccc1oc(=N)c(C(=O)N3CCOCC3)cc12,115.0
CCN=C(S)Nc1cc(-n2cnc(CN(CC)CC)c2)ncn1,115.0
CN(C)c1ccc(/C=C2\COc3cc(OCCCCCCN=c4c5c([nH]c6ccccc46)CCCC5)ccc3C2=O)cc1,115.0
COc1cc(/C=C/C(O)=NCCCN=c2c3c([nH]c4ccccc24)CCCC3)cc(OC)c1OCc1nc(C)c(C)nc1C,116.0
Cc1ccccc1N=c1ccc(=O)n(Cc2cccc(N=C(O)N3CCC(C(=O)N(C(C)C)C(C)C)CC3)c2)[nH]1,116.0
